Date,Description,Amount,CounterParty,Reference,Category
07/03/2024,CO-OP FOLKESTONE STATIO FOLKESTONE,4.7,"THE COOPERATIVE
",AT240680045000010126105,General Purchases-Groceries
07/03/2024,EASYJET*EASYJET K72445J LUTON,514.44,Easyjet,AT240670052000010120342,Travel-Airline
07/03/2024,HAWKSMOOR GUILDHALL     LONDON,118.32,Hawksmoor,AT240680045000010127002,Entertainment-Restaurants
07/03/2024,ORCHARD LANE COFFEE HOU KENT,6.6,Orchard,AT240680045000010126714,Entertainment-Restaurants
07/03/2024,ST. PANCRAS STATION MAI LONDON,2.2,Mai sushi,AT240680045000010125657,General Purchases-Groceries
07/03/2024,TRAINLINE trainline     LONDON,27.15,Trainline,AT240680045000010127929,Travel-Rail Services
09/03/2024,AMZNMKTPLACE            AMAZON.CO.UK,25.99,Amznmktplace,AT240700039000010144669,General Purchases-Online Purchases
09/03/2024,SAINSBURY'S SUPERMARKET FOLKESTONE,12.5,Sainsbury'S,AT240700039000010139585,General Purchases-Groceries
09/03/2024,YOKE                    Folkestone,7.2,Yoke,AT240690042000010138485,Entertainment-Bars & Caf̩s
11/03/2024,AMZNMKTPLACE            AMAZON.CO.UK,9.99,Amznmktplace,AT240710075000010016783,General Purchases-Online Purchases
11/03/2024,ST. PANCRAS STATION MAI LONDON,15.9,Mai Sushi,AT240720047000010108072,General Purchases-Groceries
11/03/2024,TESCO STORE 2726 2726TE LONDON,3.4,Tesco,AT240710047000010110039,General Purchases-Groceries
11/03/2024,WOB.COM 206436          EAST SUSSEX,22.99,Wob.Com,AT240710075000010016959,General Purchases-General Retail
12/03/2024,ORCHARD LANE COFFEE HOU KENT,6.6,Orchard,AT240730044000010110858,Entertainment-Restaurants
13/03/2024,9 HARLEY STREET         LONDON,7.15,Health services,AT240740047000010117579,Business Services-Health Care Services
13/03/2024,AMZNMKTPLACE            AMAZON.CO.UK,49.27,Amznmktplace,AT240740075000010013678,General Purchases-Online Purchases
13/03/2024,MCDONALDS - ASHFORD ORB ASHFORD,9.28,Mcdonalds,AT240740047000010122380,Entertainment-Bars & Caf̩s
13/03/2024,STEM BY STEM            FOLKESTONE,40,Stem,AT240740047000010117685,General Purchases-Groceries
13/03/2024,TESCO PETROL 3982 3982T ASHFORD,113.26,Tesco,AT240730044000010111929,General Purchases-Fuel
14/03/2024,TESCO STORE 2535 2535TE FOLKESTONE,5.79,Tesco,AT240740047000010116370,General Purchases-Groceries
15/03/2024,9 HARLEY STREET         LONDON,3.9,Health services,AT240760039000010135350,Business Services-Health Care Services
15/03/2024,9 HARLEY STREET         LONDON,3.9,Health services,AT240760039000010135351,Business Services-Health Care Services
16/03/2024,ST. PANCRAS STATION MAI LONDON,1.25,Mai Sushi,AT240770039000010136692,General Purchases-Groceries
16/03/2024,ST. PANCRAS STATION MAI LONDON,6.35,Mai Sushi,AT240770039000010136690,General Purchases-Groceries
16/03/2024,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.4,Tfl,AT240770039000010135262,Travel-Other Travel
16/03/2024,TRAINLINE trainline     LONDON,27.15,Trainline,AT240770039000010137871,Travel-Rail Services
17/03/2024,EVERGREEN T3 18203081   LONDON,13.99,Evergreen,AT240780046000010126198,Entertainment-Restaurants
17/03/2024,EVERGREEN T3 18203081   LONDON,25.63,Evergreen,AT240780046000010126197,Entertainment-Restaurants
17/03/2024,SUMUP*THE LIFT CAFE     FOLKESTONE,14,Sumup*The,AT240770039000010133500,Entertainment-Restaurants
17/03/2024,TRAINLINE trainline     LONDON,64.85,Trainline,AT240780046000010117515,Travel-Rail Services
22/03/2024,FIVE GUYS               LONDON,23.85,Five,AT240830039000010134795,Entertainment-Restaurants
23/03/2024,YOKE                    Folkestone,9.1,Yoke,AT240830039000010130530,Entertainment-Bars & Caf̩s
24/03/2024,TESCO STORE 6093 6093TE FOLKESTONE,6.8,Tesco,AT240840037000010142276,General Purchases-Groceries
25/03/2024,CO-OP FOLKESTONE STATIO FOLKESTONE,1,Co-Op,AT240860036000010118889,General Purchases-Groceries
25/03/2024,EBAY COMMERCE UK LTD*EB LONDON,29.99,Ebay,AT240850044000010131488,General Purchases-Online Purchases
25/03/2024,Fella                   Folkestone,25,Fella,AT240850044000010131392,Business Services-Other Services
25/03/2024,LIDL FOLKESTONE 0324    FOLKESTONE,28.01,Lidl,AT240860036000010116507,General Purchases-Groceries
25/03/2024,TESCO STORE 5226 5226TE FOLKESTONE,3.4,Tesco,AT240850044000010128316,General Purchases-Groceries
26/03/2024,ORCHARD LANE COFFEE HOU KENT,6.6,Orchard,AT240870036000010121958,Entertainment-Restaurants
26/03/2024,TESCO STORE 6093 6093TE FOLKESTONE,1.2,Tesco,AT240860036000010132866,General Purchases-Groceries
27/03/2024,DOMINOS PIZZA Dominos P MILTON KEYNES,18.48,Dominos,AT240880038000010137479,Entertainment-Bars & Caf̩s
27/03/2024,TESCO STORE 2535 2535TE FOLKESTONE,96.6,Tesco,AT240870036000010132397,General Purchases-Groceries
27/03/2024,TRAINLINE trainline     LONDON,59.75,Trainline,AT240880038000010121258,Travel-Rail Services
28/03/2024,CO-OP FOLKESTONE STATIO FOLKESTONE,1,Co-Op,AT240890038000010138801,General Purchases-Groceries
28/03/2024,HOMEBASE FOLKESTONE     FOLFESTONE,38,Homebase,AT240890038000010149656,General Purchases-Hardware Supplies
28/03/2024,ORCHARD LANE COFFEE HOU KENT,6.6,Orchard,AT240890038000010137927,Entertainment-Restaurants
28/03/2024,THE BEER SHOP FOLKESTON Folkestone,15.9,The,AT240880067000010019082,Entertainment-Bars & Caf̩s
29/03/2024,CO-OP FOLKESTONE STATIO FOLKESTONE,1.75,Co-Op,AT240900037000010119090,General Purchases-Groceries
29/03/2024,TK MAXX                 FOLKESTONE,36.13,Tk,AT240900037000010146226,General Purchases-Clothing Stores
30/03/2024,ORCHARD LANE COFFEE HOU KENT,6.9,Orchard,AT240910037000010134328,Entertainment-Restaurants
30/03/2024,SAINSBURY'S SUPERMARKET FOLKESTONE,89.64,Sainsbury'S,AT240910037000010129222,General Purchases-Groceries
31/03/2024,ORCHARD LANE COFFEE HOU KENT,3.4,Orchard,AT240920027000010090425,Entertainment-Restaurants
